EmployeeID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,PromotionDelay,IsOverduePromotion,EngagementScore,WorkloadStress,TenureRatio,RoleStagnation,SatisfactionIncomeRatio,CompanyHopper,Attrition_Probability,Risk_Percentage,Risk_Category
1,41,1,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,749.125,6,0,2.0,1,0.75,0.6666666666666666,2.3972,1,0.9889949,98.9,High Risk
2,49,0,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,513.0,9,0,3.0,0,1.0,0.7,1.026,0,0.008872843,0.89,Low Risk
3,37,1,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,298.57142857142856,0,0,3.0,0,0.0,0.0,0.627,1,0.7977971,79.78,High Risk
4,33,0,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,363.625,5,0,3.25,0,1.0,0.875,0.8727,0,0.26019394,26.02,Low Risk
5,27,0,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,578.0,0,0,2.5,0,0.3333333333333333,1.0,0.6936,1,0.035319507,3.53,Low Risk
6,32,0,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,No,13,3,3,0,8,2,2,7,7,3,6,383.5,4,0,3.25,0,0.875,1.0,1.2272,0,0.0013366179,0.13,Low Risk
7,59,0,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,222.5,1,0,1.75,1,0.08333333333333333,0.0,0.267,0,0.025776427,2.58,Low Risk
8,30,0,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,2693.0,1,0,3.0,0,1.0,0.0,0.8079,0,0.030686999,3.07,Low Risk
9,38,0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,0,10,2,3,9,7,1,8,952.6,8,0,3.0,0,0.9,0.7777777777777778,2.8578,0,0.0013364352,0.13,Low Risk
10,36,0,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,308.05882352941177,0,1,2.5,0,0.4117647058823529,1.0,1.5711,1,0.004108023,0.41,Low Risk
11,35,0,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,404.3333333333333,5,0,2.25,0,0.8333333333333334,0.8,0.4852,0,0.0110018905,1.1,Low Risk
12,29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,419.3,9,0,3.5,0,0.9,0.5555555555555556,1.2579,0,0.0069574374,0.7,Low Risk
13,31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,582.2,1,0,2.5,0,1.0,0.4,0.8733,0,0.006642755,0.66,Low Risk
14,34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,887.0,1,0,3.0,0,0.6666666666666666,1.0,1.0644,0,0.005985866,0.6,Low Risk
